skt(K),surtsn(K),albsn(0-1),snfall(m),smlt(m),windsp10(m),2mTair,total_prec,LWdown(MJ/m2/d),SWdown(MJ/m2/d),netSWdown(MJ/m2/d),netLWup(MJ/m2/d),LE(J/m2),H(J/m2)
269.7006,268.6024,0.7779,0.0028,0,1.2275650369736,269.4146,0.0033,21.8513,15.4877,10.2675,-3.9953,-1.3466,-5.0973
269.9662,268.8325,0.8194,0.0037,0,0.949901763341873,269.4295,0.0042,21.1626,20.6765,13.5767,-4.745,-1.6641,-7.6515
274.7928,271.9823,0.6675,0.0009,0.0032,0.32205008927184,274.1186,0.0014,21.6022,27.3368,18.528,-6.2141,-2.3086,-8.9747
279.0399,273.0088,0.5602,0.0003,0.0173,0.781954538320483,279.5415,0.002,23.9659,27.1439,18.7937,-5.6763,-0.924,-6.4634
286.2733,273.0926,0.6883,0,0.0027,0.421531695130983,286.9062,0.0009,25.6225,27.7513,23.5537,-7.1693,-6.494,-7.2803
284.8943,273.1602,0.88,0,0,0.409522807667656,285.1539,0.0009,24.7009,24.4485,21.3142,-7.3669,-4.6064,-8.7802
278.5557,271.8198,0.8214,0.0014,0.0008,0.374471627763707,278.7792,0.0037,24.0172,17.6173,14.2484,-5.4265,-2.9235,-5.9734
268.4643,267.3159,0.7087,0.0014,0.0013,0.656014755931603,270.3498,0.0018,20.4801,13.7333,9.3534,-4.9324,-1.9974,-2.8676
266.9637,266.4711,0.8221,0.0046,0,1.08860976479177,267.0804,0.0049,21.5173,7.1347,4.7071,-3.3278,-0.5983,-1.1329
262.3272,262.0739,0.8304,0.0025,0,0.563749776053171,262.781,0.0025,19.8812,5.8442,3.8294,-3.2546,-0.2726,-0.6582
