csn(%),swe(m),depsn(m),snevap(m),rhosn(kgm-3),eva_baresoil(m),eva_topcano(m),eva_vegetran(m),forecast_albedo(0-1),potential_eva(m),stl1(K),stl2(K),stl3(K),stl4(K),swvl1(m3/m3),swvl2(m3/m3),swvl3(m3/m3),swvl4(m3/m3)
99.4883,0.2198,0.832,-0.0003,0,-0,0,-0,0.3692,-0.0057,271.6596,271.8187,272.6103,273.8394,0.3411,0.3412,0.3456,0.381
99.4883,0.1893,0.5488,-0.0003,0,-0,0,-0,0.3496,-0.0101,272.1011,272.1127,272.5278,273.7009,0.3941,0.3896,0.3719,0.3791
38.2389,0.0335,0.0918,-0,0,-0.0008,-0.0005,-0,0.2005,-0.0131,277.1576,275.7882,272.8503,273.6003,0.4095,0.4115,0.4157,0.4192
-0,0,-0,-0,0,-0.0021,-0.0006,-0,0.1177,-0.0161,285.2824,283.9073,279.7807,273.9158,0.3684,0.3681,0.3728,0.4086
-0,0,-0,-0,0,-0.0023,-0.0006,-0,0.1233,-0.0156,288.5644,287.4962,284.2089,277.3288,0.3354,0.3396,0.3531,0.395
-0,0,-0,-0,0,-0.001,-0.0009,-0,0.1142,-0.0084,286.0639,285.8272,284.758,280.9172,0.3924,0.386,0.3699,0.3862
-0,0,-0,-0,0,-0.001,-0.0003,-0,0.098,-0.0113,284.4552,284.4112,284.1443,282.5598,0.3672,0.3716,0.3865,0.3938
5.1389,0.0008,0.0049,0,0,-0.0001,-0.0004,-0,0.0903,-0.0037,278.2841,278.9475,280.5963,282.4695,0.4065,0.4081,0.4114,0.4057
38.6002,0.0063,0.041,-0,0,-0,-0,-0,0.1812,-0.0014,271.4774,272.38,274.8516,279.9915,0.3961,0.3967,0.4,0.4135
99.4883,0.0838,0.4961,-0,0,-0,-0,-0,0.376,-0.0002,272.077,272.3485,273.7256,277.0879,0.3768,0.3793,0.3881,0.408
99.4883,0.148,0.707,-0,0,-0,-0,-0,0.3684,-0.0002,271.9899,272.3281,273.474,275.3827,0.3561,0.3585,0.3662,0.3992
99.4883,0.2132,0.9014,-0.0001,0,-0,0,-0,0.3758,-0.0015,272.1084,272.3443,273.2206,274.4119,0.3456,0.3482,0.3554,0.3912
99.4883,0.2475,0.833,-0.0001,0,-0,0,-0,0.3574,-0.0038,272.3094,272.406,273.0444,273.9841,0.3765,0.3739,0.3648,0.3853
99.4883,0.1613,0.3926,-0.0005,0,-0,0,-0,0.3463,-0.0114,272.6937,272.7259,272.994,273.8398,0.4142,0.4161,0.4165,0.406
25.3104,0.0231,0.0518,0,0,-0.0009,-0.0006,-0,0.1665,-0.0125,278.9941,277.6493,274.5037,273.7778,0.4108,0.4123,0.4124,0.4227
-0,0,-0,-0,0,-0.0028,-0.0004,-0,0.1177,-0.0216,288.9515,287.3246,282.7854,275.5576,0.323,0.3334,0.3616,0.4075
-0,0,-0,-0,0,-0.0022,-0.0004,-0,0.1233,-0.0253,292.9238,291.907,288.626,280.686,0.2187,0.2277,0.3,0.3855
-0,0,-0,-0,0,-0.0015,-0.0002,-0,0.1142,-0.0221,289.8518,289.4803,288.0491,284.1906,0.237,0.2408,0.2785,0.3687
0.4357,0.0001,-0,0,0,-0.0004,-0.0006,-0,0.0993,-0.0071,283.141,283.663,284.9998,285.344,0.3741,0.3558,0.3098,0.3584
8.6048,0.0013,0.0088,-0,0,-0.0002,-0.0003,-0,0.0988,-0.0043,276.4232,277.1471,279.3695,283.6893,0.404,0.4042,0.3976,0.3664
55.6899,0.0259,0.1621,-0,0,-0,-0.0001,-0,0.2364,-0.0009,273.8905,274.5338,276.5967,280.8153,0.4015,0.4035,0.4082,0.3973
99.4883,0.1617,0.7354,-0.0001,0,-0,-0,-0,0.3693,-0.0008,273.877,274.3158,275.5441,278.4348,0.3791,0.3834,0.3945,0.402
